void_fraction,surface_area_m2g,pld,lcd,surface_area_m2cm3
0.94,3770,35.8,40.8,664
0.94,4128,36.2,40.6,683
0.94,4080,36.0,39.7,691
0.94,3842,36.6,40.8,689
0.95,4631,35.6,41.4,705
0.93,3517,34.4,41.7,631
0.95,4561,36.4,44.3,666
0.78,1988,15.7,21.0,1212
0.94,4390,36.5,43.3,669
0.93,5934,36.1,38.9,1224
0.92,3061,37.8,45.4,535
0.94,3900,40.3,45.3,565
0.94,3634,39.9,46.0,536
0.95,4857,41.1,47.0,627
0.95,4781,40.8,46.7,637
0.96,4269,41.8,49.0,571
0.95,5213,38.5,42.9,667
0.95,4900,37.8,40.6,667
0.96,5041,42.7,48.0,579
0.82,2220,17.2,20.6,1269
0.93,5500,35.0,38.4,1230
0.95,4901,42.1,46.7,587
0.96,5220,43.8,48.8,564
0.96,4735,44.2,48.8,547
0.97,5392,48.9,54.2,494
0.97,5104,55.6,61.4,405
0.97,4769,49.1,54.2,481
0.97,5915,51.5,57.2,442
0.97,5632,53.7,62.0,432
0.82,2157,19.0,23.5,1058
0.82,2069,18.0,22.2,1095
0.94,6908,38.6,41.6,1121
0.83,2179,19.4,23.9,1072
0.81,2133,20.7,24.2,978
0.81,2315,19.3,23.7,1052
0.82,2263,19.7,23.5,1034
0.71,1471,13.6,18.6,1260
0.89,2607,27.7,32.4,782
0.87,2558,26.9,30.4,802
0.9,2911,28.4,32.8,805
0.9,2937,27.8,32.2,859
0.91,3478,28.7,33.4,850
0.54,380,3.6,5.7,333
0.93,5902,36.5,38.6,1274
0.91,3548,27.2,33.4,878
0.93,4107,31.3,35.3,827
0.93,3637,34.3,40.0,709
0.93,3574,33.3,39.8,738
0.95,4415,36.8,41.0,720
0.84,2419,18.6,24.2,1126
0.94,4276,37.1,41.1,697
0.95,4161,36.0,42.8,669
0.95,3854,42.1,47.8,580
0.95,4209,42.4,47.2,592
0.94,6552,40.8,43.1,1111
0.95,4467,41.5,46.8,595
0.95,4425,41.6,46.9,600
0.95,4212,41.4,45.6,607
0.96,5072,40.0,43.7,625
0.94,3333,40.3,49.1,488
0.95,4706,41.9,48.9,565
0.85,2440,20.3,26.2,1038
0.95,4696,40.4,48.2,596
0.95,4187,41.0,50.3,557
0.96,5231,42.2,48.3,607
0.85,3433,22.9,23.7,1467
0.96,5148,42.0,47.4,600
0.96,5531,43.3,48.6,585
0.96,5324,44.5,48.6,582
0.96,4305,48.1,56.3,475
0.96,5491,44.5,49.2,577
0.96,5121,45.6,49.6,536
0.97,5253,49.2,56.1,497
0.88,2850,22.4,27.0,1070
0.96,5132,48.0,53.4,509
0.97,5382,49.9,55.1,485
0.93,6231,36.8,39.3,1161
0.97,5024,49.1,53.9,484
0.97,5569,54.0,61.1,432
0.97,5371,61.8,68.8,355
0.97,5025,53.8,59.0,428
0.98,6120,57.6,63.7,389
0.98,6470,55.5,62.0,415
0.87,2596,22.8,28.3,936
0.87,2498,21.4,27.1,983
0.87,2603,23.5,28.1,945
0.87,2639,26.4,30.6,831
0.92,5881,38.5,40.7,1257
0.88,2729,23.5,28.2,896
0.88,2623,24.8,29.6,865
0.72,1521,13.9,18.9,1257
0.88,2708,27.3,32.0,793
0.88,2625,26.4,30.6,810
0.91,2990,28.1,32.5,812
0.91,2967,28.1,32.5,847
0.92,3513,28.9,33.9,839
0.91,3547,27.7,33.6,855
0.93,4218,31.5,35.5,836
0.94,7266,40.2,41.9,1258
0.94,3660,34.5,39.4,695
0.93,3564,33.9,40.2,714
0.94,4465,35.8,40.1,715
0.85,2422,19.9,25.4,1066
0.94,4273,37.3,41.2,686
0.95,4208,36.1,42.7,665
0.95,3862,40.8,47.5,574
0.95,4300,40.8,46.5,596
0.95,4573,41.1,45.9,599
0.95,4525,40.7,45.6,605
0.93,7226,39.4,41.5,1261
0.95,4239,41.6,45.9,600
0.96,5173,40.0,43.9,628
0.95,3854,40.2,48.5,544
0.96,4804,42.5,48.9,562
0.86,2479,20.6,26.1,1013
0.96,4696,41.5,47.9,581
0.95,4087,41.6,50.5,539
0.96,5276,42.2,48.4,605
0.96,5179,42.2,47.5,597
0.96,5613,44.0,49.2,587
0.94,7430,41.7,44.1,1148
0.96,5383,44.6,48.7,582
0.97,4621,48.1,55.2,495
0.96,5603,43.4,48.3,579
0.96,5211,45.4,49.6,539
0.97,5411,47.3,53.4,509
0.88,2819,22.6,27.2,1038
0.96,5257,47.5,52.4,513
0.97,5554,48.6,54.1,493
0.97,5054,49.3,54.1,479
0.97,5666,54.1,60.3,434
0.94,6872,42.4,44.3,1096
0.97,5427,61.6,68.2,358
0.97,5056,54.1,59.2,425
0.98,6252,56.5,62.5,393
0.98,6527,56.3,63.0,415
0.88,2640,22.8,28.0,935
0.87,2546,21.0,26.4,991
0.88,2652,23.5,28.2,939
0.88,2659,26.6,30.9,820
0.87,2715,24.0,28.4,884
0.88,2657,24.6,28.8,868
0.94,6016,41.1,43.4,1111
0.82,1977,18.7,23.7,1080
0.91,3103,31.8,37.1,701
0.91,3150,31.1,35.9,744
0.93,3476,32.4,37.6,733
0.93,3452,32.9,37.2,761
0.94,3953,33.9,38.8,738
0.93,3792,32.3,39.5,717
0.95,4624,36.1,40.1,735
0.95,4058,38.2,44.8,621
0.95,3860,37.7,45.1,627
0.6,683,4.6,6.0,622
0.94,7111,38.9,42.6,1125
0.96,4849,40.0,45.3,636
0.89,2748,24.8,31.0,883
0.95,4610,41.6,45.8,606
0.96,4548,40.9,48.2,587
0.96,4151,45.0,53.7,510
0.96,4603,45.2,52.0,531
0.96,4885,45.5,51.2,533
0.96,4823,45.3,50.9,537
0.96,4533,45.8,50.7,532
0.97,5459,44.0,48.5,557
0.94,6886,43.0,44.5,1053
0.96,3913,45.2,54.0,459
0.96,5020,47.4,54.3,489
0.9,2845,25.0,31.2,860
0.96,5028,46.7,53.2,515
0.96,4242,46.6,54.6,469
0.97,5519,46.8,53.7,534
0.96,5400,46.7,52.7,525
0.97,5800,48.2,54.1,515
0.97,5602,48.7,53.4,513
0.97,4934,52.2,60.1,448
0.94,6845,40.8,44.7,1068
0.97,5867,47.8,53.3,516
0.97,5453,49.4,54.4,480
0.97,5621,51.9,58.2,452
0.91,3204,27.4,31.9,879
0.97,5484,51.9,58.4,455
0.97,5772,52.9,59.2,441
0.97,5273,53.5,59.0,428
0.98,5909,58.3,65.4,391
0.98,5685,66.7,74.1,317
0.98,5277,58.1,64.3,381
0.88,4138,25.4,27.6,1519
0.98,6325,61.0,67.4,344
0.98,6657,60.2,67.4,372
0.91,3052,27.0,32.5,826
0.9,2719,28.2,34.4,775
0.91,2999,27.0,32.7,821
0.91,3107,31.3,36.2,734
0.91,3245,27.8,33.3,811
0.91,3170,29.0,34.6,792
0.84,2104,20.1,24.8,1038
0.92,3299,33.7,39.2,693
0.94,6633,40.9,43.9,1066
0.92,3289,32.4,37.3,726
0.94,3685,34.1,38.6,726
0.93,3606,34.1,37.8,747
0.94,4143,35.3,39.7,727
0.94,4143,33.6,39.0,744
0.95,4720,36.8,40.9,710
0.95,4173,40.1,47.4,603
0.95,4154,39.1,44.4,645
0.96,4981,41.3,46.8,621
0.9,2871,24.9,31.0,873
0.95,6963,43.3,46.4,1017
0.96,4741,42.2,46.6,592
0.96,4678,42.8,50.2,567
0.96,4351,47.0,54.4,506
0.97,4666,47.4,53.4,510
0.96,4968,46.7,52.6,519
0.96,4870,46.9,52.6,516
0.96,4620,46.4,51.3,519
0.97,5523,44.6,48.9,540
0.96,3391,47.1,56.4,392
0.97,5070,47.1,56.4,484
