void_fraction,surface_area_m2g,pld,lcd,surface_area_m2cm3
0.84,3204,14.6,20.4,1537
0.86,4121,14.6,21.0,1548
0.86,4043,15.3,21.9,1504
0.9,5225,16.7,22.4,1587
0.89,4228,17.0,25.4,1411
0.89,4082,18.6,25.3,1443
0.2,0,2.2,4.1,0
0.9,5242,35.2,37.4,1224
0.91,5317,18.2,26.0,1429
0.75,2250,11.4,15.6,1600
0.9,5388,17.4,26.2,1484
0.67,1719,8.6,12.9,1293
0.91,4582,20.4,30.0,1286
0.92,4953,22.3,30.7,1252
0.92,5506,20.3,29.6,1315
0.92,5322,21.4,29.8,1277
0.91,5008,21.8,30.8,1269
0.94,6633,21.6,28.9,1259
0.92,6313,39.5,41.1,1300
0.91,4836,22.0,31.6,1265
0.92,6122,21.7,32.1,1215
0.78,2485,11.4,16.6,1551
0.92,5802,23.2,31.4,1219
0.91,5251,19.3,30.3,1322
0.93,6752,21.6,31.2,1374
0.92,6304,22.5,30.1,1284
0.94,7089,23.7,31.6,1262
0.94,6560,24.0,32.0,1215
0.94,5550,24.6,34.4,1130
0.91,4979,42.8,44.1,1125
0.94,6912,22.6,31.9,1215
0.93,6472,23.0,32.2,1161
0.94,6402,25.9,36.0,1078
0.84,3047,12.1,17.3,1655
0.93,6282,24.7,34.7,1106
0.94,6676,25.6,35.3,1078
0.94,6049,26.3,35.8,1037
0.95,6688,28.1,40.2,956
0.95,6275,28.5,39.2,939
0.95,5887,28.9,38.9,926
0.91,4984,41.7,43.2,1160
0.96,7401,31.0,42.4,858
0.96,8010,30.0,40.8,933
0.79,2809,10.4,16.7,1589
0.8,2753,9.9,15.5,1681
0.8,2752,12.8,17.9,1581
0.76,2602,12.0,19.2,1424
0.76,2592,9.4,17.2,1537
0.78,2602,12.1,17.5,1529
0.75,1952,9.6,15.2,1565
0.87,3362,16.5,26.2,1247
0.93,6279,45.0,46.8,1181
0.84,3382,16.7,24.5,1324
0.89,3767,18.6,27.7,1244
0.88,3857,18.7,27.0,1348
0.9,4765,19.5,27.9,1331
0.89,4652,19.3,26.4,1352
0.92,5736,21.9,29.9,1310
0.91,4235,23.0,34.1,1071
0.91,4335,22.1,33.2,1150
0.93,5703,24.2,34.8,1163
0.83,2948,14.0,20.5,1438
0.82,3619,21.7,22.9,1515
0.93,5508,24.4,35.2,1129
0.93,4754,24.7,34.5,1034
0.93,4074,27.4,42.3,885
0.94,4823,27.5,40.7,942
0.94,5584,27.2,40.0,1001
0.94,5478,27.4,39.2,1001
0.93,5236,28.1,39.0,1016
0.95,6942,28.0,37.3,1030
0.93,4698,27.2,38.8,944
0.94,5994,27.1,39.9,977
0.92,6038,45.4,47.3,1151
0.85,3323,14.4,20.8,1463
0.94,5841,27.6,37.8,990
0.91,4240,28.3,37.5,899
0.94,6980,28.1,39.7,1088
0.94,6603,28.6,39.3,1036
0.95,7256,29.4,41.0,1001
0.95,6885,30.0,41.7,983
0.95,4861,32.7,48.7,790
0.95,7123,30.1,42.2,974
0.95,6514,30.3,42.8,895
0.94,6655,50.3,51.7,963
0.95,6424,32.5,45.3,845
0.88,4149,15.7,22.5,1630
0.95,6197,32.5,46.5,852
0.95,6581,34.1,47.8,822
0.95,6201,34.0,46.4,827
0.96,6643,37.1,52.5,746
0.96,6286,38.0,52.7,725
0.96,6022,37.2,50.9,741
0.97,7384,40.2,55.4,673
0.97,8098,38.1,52.3,740
0.82,1970,53.8,54.4,688
0.85,3396,14.8,21.8,1422
0.84,2988,13.4,22.2,1343
0.85,3265,15.8,23.3,1363
0.84,3379,16.6,24.9,1326
0.84,3037,15.7,23.0,1263
0.85,3236,14.9,23.3,1361
0.57,917,6.2,13.3,1282
0.79,2237,16.2,23.8,1163
0.78,2218,16.3,23.5,1206
0.84,2583,16.7,25.6,1222
0.93,5209,52.3,53.0,996
0.84,2620,16.4,25.8,1305
0.85,3164,16.9,26.0,1299
0.85,2926,17.2,27.3,1172
0.9,4009,19.0,29.2,1329
0.88,3339,20.6,31.0,1135
0.88,3319,21.2,29.8,1172
0.91,4110,23.1,34.0,1138
0.72,1792,10.0,17.4,1490
0.9,4234,23.0,32.3,1176
0.91,3844,23.3,34.1,1080
0.81,5241,8.9,10.9,2303
0.93,6099,50.9,52.5,1048
0.91,3746,24.5,37.1,1015
0.92,4024,26.6,36.9,1005
0.92,4521,26.3,37.9,1055
0.92,4430,26.1,37.1,1055
0.92,4174,26.4,36.9,1053
0.93,5145,25.3,36.4,1055
0.92,3959,25.8,37.9,993
0.92,4875,27.8,37.3,1006
0.76,2030,11.3,19.8,1413
0.92,4521,27.7,39.7,960
0.93,5866,50.8,52.2,1029
0.91,4554,26.3,35.7,1095
0.93,5334,27.3,39.0,1075
0.92,5061,27.9,38.4,1026
0.94,5591,28.5,39.7,1012
0.94,5224,29.1,40.6,977
0.94,4549,30.2,42.6,892
0.94,5631,29.3,41.1,1011
0.93,5153,29.0,40.9,927
0.94,5345,31.0,43.6,897
0.82,2475,12.6,22.0,1511
0.93,5678,49.1,51.4,1034
0.94,5239,30.9,42.8,911
0.94,5545,32.9,45.6,874
0.94,5038,32.9,44.8,848
0.95,5657,35.1,50.3,780
0.95,5398,35.5,48.9,768
0.95,5069,36.2,48.3,769
0.96,6205,38.6,52.8,698
0.96,6635,37.5,51.0,751
0.78,2219,13.9,21.1,1361
0.78,2197,12.7,19.2,1424
0.94,7201,47.5,49.6,1049
0.79,2216,13.0,20.6,1380
0.78,2274,16.1,23.7,1240
0.79,2219,14.3,22.5,1256
0.8,2274,13.2,23.2,1292
0.65,1111,6.8,10.4,1366
0.77,2787,11.9,18.7,1439
0.77,2645,12.6,19.1,1407
0.84,3409,13.0,19.7,1538
0.85,3296,14.6,20.2,1547
0.86,4127,15.8,22.5,1474
0.93,5028,49.7,51.2,948
0.87,4196,16.4,22.6,1441
0.9,5455,16.1,22.6,1617
0.89,4414,18.3,24.9,1478
0.89,4251,18.4,25.2,1467
0.91,5598,19.3,25.7,1471
0.76,2337,10.2,15.5,1560
0.9,5459,19.3,26.0,1472
0.92,1627,9.9,16.2,1512
0.91,4850,19.7,29.1,1362
0.92,5224,20.6,29.1,1325
0.94,6853,49.5,51.6,1014
0.92,5640,21.9,29.9,1318
0.92,5500,21.1,29.1,1298
0.91,5053,21.4,29.1,1281
0.93,6845,20.9,28.8,1279
0.92,5206,22.7,31.5,1255
0.93,6416,22.4,31.5,1249
0.79,2572,11.1,17.0,1525
0.92,5849,24.1,32.2,1184
0.91,5335,19.5,29.8,1320
0.93,6808,21.7,30.7,1364
0.86,4197,29.3,30.3,1450
0.92,6347,22.3,30.5,1273
0.94,7097,23.0,31.4,1257
0.94,6594,24.2,31.7,1207
0.93,5559,25.1,34.2,1151
0.94,7046,23.0,31.6,1217
0.93,6649,23.7,32.1,1158
0.94,6632,25.7,34.9,1099
0.83,3067,11.2,16.2,1653
0.93,6422,26.4,34.7,1107
0.94,6824,26.3,35.1,1078
0.94,6488,48.6,50.8,1000
0.94,6074,25.7,35.5,1034
0.95,6734,28.1,39.0,973
0.95,6442,29.0,39.4,935
0.95,5893,28.9,39.3,923
0.96,7579,30.7,41.5,860
0.96,8070,31.0,41.2,924
0.8,2897,11.4,16.7,1600
0.81,2948,10.7,16.7,1643
0.81,2838,10.8,17.1,1613
0.78,2655,12.4,19.1,1420
0.87,3470,55.7,56.1,921
0.76,2692,10.1,16.9,1565
0.77,2494,12.1,18.0,1458
0.77,1989,9.8,15.5,1533
0.86,3489,17.9,25.9,1271
0.84,3346,17.4,24.9,1282
0.89,4047,17.6,27.3,1304
0.89,3924,18.9,27.2,1336
0.9,4934,19.3,27.8,1342
0.9,4921,19.6,27.0,1355
0.92,5933,21.8,30.0,1328
0.94,7008,52.9,54.4,1066
0.92,4918,22.0,31.5,1211
0.92,4520,21.6,32.2,1180
0.93,6048,23.8,33.5,1210
0.83,3085,13.8,20.2,1454
0.93,5509,24.6,35.3,1111
0.93,4620,25.3,36.3,1004
0.94,4922,26.3,39.1,1029
0.94,5303,26.3,39.3,1012
0.94,5747,27.3,38.8,1012
0.94,5582,27.5,38.9,1005
0.82,5515,9.9,11.2,2275
0.94,6888,52.8,54.7,1054
0.94,5290,28.2,39.1,1006
0.95,7115,27.9,37.4,1037
0.93,5161,25.6,37.3,1010
0.94,6447,28.0,39.0,1000
0.85,3377,14.1,21.3,1451
0.94,5913,28.4,38.0,981
0.91,4350,27.6,37.8,899
0.94,7006,28.1,40.0,1077
0.94,6577,28.9,39.6,1017
0.95,7201,29.7,41.7,979
0.94,7472,53.0,55.1,1025
0.95,6983,30.1,41.7,983
0.95,5573,31.5,45.4,866
0.95,7336,29.8,40.7,987
0.95,6641,30.4,42.9,900
0.95,6560,32.5,45.1,854
0.87,3948,15.8,22.6,1514
0.95,6430,32.3,44.9,869
0.95,6827,33.6,46.2,840
0.95,6236,34.2,46.5,818
0.96,6811,37.0,50.7,755
0.94,7092,52.5,54.7,999
0.96,6466,37.2,51.2,735
0.96,6051,37.5,51.1,733
0.97,7551,39.7,53.7,678
0.97,8146,38.1,52.2,736
0.85,3271,15.6,21.5,1328
0.86,3435,13.8,21.6,1448
0.86,3321,15.5,23.4,1347
0.84,3404,16.8,25.1,1307
0.84,3726,14.8,20.9,1518
0.85,3527,14.9,22.0,1451
0.94,5582,58.9,59.5,902
0.57,962,6.4,13.5,1300
0.8,2468,16.0,22.8,1254
0.78,2281,16.4,23.8,1207
0.84,2828,16.7,24.4,1307
0.84,2649,16.6,25.6,1290
0.86,3214,17.6,26.5,1276
0.85,2935,17.2,28.5,1141
0.9,4158,19.1,29.4,1352
0.89,3622,20.7,29.6,1199
0.88,3354,21.2,29.8,1161
0.95,7197,53.1,55.0,978
0.91,4395,23.2,32.7,1194
0.74,1940,10.8,19.1,1449
0.9,4344,23.2,32.4,1187
0.91,4155,23.5,33.8,1120
0.91,4161,24.4,35.0,1110
0.92,4311,25.9,36.3,1059
0.92,4607,26.4,37.1,1052
0.92,4526,26.3,36.5,1057
0.92,4217,26.6,36.9,1044
0.93,5285,25.5,36.5,1066
0.94,6872,53.8,55.8,947
0.92,4388,24.7,34.1,1089
0.92,4880,27.4,38.6,984
0.76,2090,11.6,19.8,1410
0.92,4729,27.6,38.8,987
0.91,4544,24.9,35.8,1080
0.93,5332,27.4,39.2,1059
0.92,5075,28.2,38.5,1014
0.94,5521,28.9,41.2,985
0.94,5297,29.3,40.7,977
0.94,4764,31.3,41.7,916
0.95,6706,57.3,59.3,898
0.94,5726,29.1,39.8,1011
0.94,5262,29.1,40.9,933
0.94,5459,30.5,42.8,898
0.81,2468,12.7,22.2,1472
0.94,5359,29.7,41.2,918
0.94,5659,32.7,44.2,879
0.94,5082,33.1,44.9,841
0.95,5758,35.5,49.3,781
0.95,5505,35.3,48.0,770
0.95,5102,35.9,48.4,762
0.88,5026,31.4,32.7,1565
0.96,6349,38.6,51.3,705
0.96,6693,37.5,51.4,749
0.8,2348,14.3,20.3,1360
0.79,2234,12.6,20.2,1390
0.8,2305,13.8,21.1,1360
0.78,2322,16.2,23.9,1239
0.79,2398,14.4,21.0,1342
0.79,2207,16.6,21.9,1227
0.77,1784,8.6,14.0,1531
0.83,3416,14.5,23.2,1413
0.94,6534,56.5,58.3,898
0.84,3542,14.6,23.0,1476
0.88,4217,16.2,23.6,1506
0.88,4010,16.3,23.5,1500
0.89,4730,17.6,25.6,1410
0.9,4622,19.0,26.1,1345
0.92,5909,18.1,25.8,1468
0.91,4850,21.0,28.7,1317
0.91,4733,20.0,28.5,1343
0.93,6015,20.4,29.4,1335
0.83,2790,14.3,20.9,1372
0.95,6833,59.4,61.4,872
0.92,5766,21.2,29.7,1328
0.68,2003,7.3,12.7,1467
0.93,5253,22.6,33.2,1211
0.93,5564,23.6,33.7,1185
0.93,5994,23.8,33.4,1188
0.93,5796,24.0,33.0,1161
0.93,5343,24.0,33.4,1135
0.95,7067,22.8,31.6,1152
0.94,5388,25.2,36.2,1080
0.94,6615,25.0,36.1,1104
0.85,4384,11.4,12.6,2020
0.82,5170,9.6,12.1,2405
0.95,6473,57.7,60.1,863
0.84,3092,13.2,20.1,1445
0.94,6179,25.4,35.9,1073
0.93,5655,24.2,33.6,1170
0.94,7032,24.7,34.9,1210
0.93,6541,24.8,34.5,1129
0.95,7222,25.8,35.3,1109
0.95,6814,25.9,35.2,1079
0.95,5914,28.3,38.2,1018
0.95,7248,25.3,35.1,1087
0.94,6741,25.5,35.5,1057
0.95,6917,64.9,66.9,813
0.95,6759,27.4,38.3,988
0.87,3696,13.0,19.6,1591
0.95,6617,28.1,39.1,984
0.95,7008,27.4,38.5,965
0.95,6278,28.9,38.3,925
0.96,6957,31.8,43.2,854
0.96,6578,31.5,42.5,844
0.95,6091,31.0,42.3,833
0.96,7675,34.0,44.3,779
0.96,8030,34.1,45.0,821
0.95,6524,64.2,66.1,785
0.85,3448,13.4,21.2,1543
0.81,3122,12.1,15.9,1753
0.86,3395,14.0,21.9,1479
0.84,3381,15.4,23.0,1421
0.84,3452,13.5,20.5,1553
0.83,3166,14.4,21.2,1444
0.83,2516,12.5,19.4,1439
0.89,3991,20.2,30.7,1177
0.88,3855,20.7,29.4,1190
0.91,4594,20.8,31.7,1212
0.95,6287,62.4,65.0,790
0.91,4447,22.0,31.2,1233
0.92,5341,22.3,31.9,1215
0.92,5105,22.2,31.5,1174
0.94,6257,24.3,33.9,1198
0.93,5254,24.4,36.3,1085
0.93,4882,25.2,35.6,1070
0.94,6352,27.0,38.0,1087
0.86,3465,16.3,23.0,1367
0.94,5813,27.6,39.3,1003
0.94,4898,29.3,42.3,897
0.96,7456,67.6,69.5,729
0.95,5163,29.4,44.2,918
0.95,5497,30.6,44.4,899
0.95,6002,30.3,43.3,910
0.95,5876,30.8,43.3,910
0.95,5563,31.3,43.1,905
0.96,7249,30.4,41.3,935
0.95,5755,28.7,39.7,951
0.95,6348,31.5,43.9,871
0.89,3764,17.4,25.3,1295
0.95,6283,31.4,42.2,895
0.96,8074,66.5,69.0,785
0.92,4580,29.3,42.6,820
0.95,7027,31.2,44.8,941
0.95,6724,32.1,44.2,905
0.96,7304,32.9,46.2,875
0.96,7103,33.0,45.8,878
0.96,5847,35.3,49.9,790
0.96,7477,31.9,45.2,886
0.96,6809,33.5,46.9,813
0.96,6754,35.9,49.5,773
0.9,4384,18.3,26.5,1365
0.85,3547,29.8,30.2,1284
0.96,6641,35.1,48.9,786
0.96,6986,36.6,50.6,759
0.96,6409,37.1,50.5,739
0.96,6970,40.2,54.9,685
0.97,6629,40.7,55.6,668
0.96,6212,40.5,55.1,664
0.97,7642,42.2,58.1,618
0.97,8147,41.5,57.2,663
0.89,3860,17.0,25.0,1299
0.88,3352,17.2,26.9,1233
0.84,3176,29.3,29.9,1233
0.88,3611,18.5,26.3,1230
0.88,3928,20.0,29.7,1213
0.89,4786,14.9,25.6,1552
0.88,4085,18.6,27.4,1341
0.72,1517,9.7,18.3,1391
0.85,3011,19.0,27.4,1191
0.84,2823,19.2,28.3,1159
0.88,3304,19.7,28.8,1202
0.88,3125,19.9,30.0,1192
0.89,3675,20.2,30.5,1183
0.86,3878,31.9,32.9,1347
0.88,3230,21.0,32.9,1015
0.92,4633,22.5,33.2,1232
0.91,4056,23.9,34.6,1094
0.91,3844,24.5,33.7,1084
0.93,4824,26.3,37.2,1087
0.8,2174,13.9,22.6,1279
0.92,4723,26.3,37.1,1071
0.93,4482,26.7,39.4,996
0.93,4477,27.5,39.5,994
0.93,4697,28.9,40.1,967
0.85,3633,38.1,39.0,1188
0.94,4939,29.3,41.6,950
0.94,4882,29.4,41.0,957
0.93,4543,29.9,41.3,941
0.94,5600,28.9,40.4,965
0.93,4528,29.1,41.3,926
0.94,5215,31.1,42.3,897
0.83,2406,15.0,24.7,1224
0.94,4957,31.2,43.9,878
0.93,4882,28.1,41.4,975
0.94,5612,30.6,44.5,950
0.84,6009,9.6,12.5,2235
0.85,3465,33.6,34.8,1186
0.94,5354,31.3,43.1,911
0.95,5773,31.9,45.0,886
0.95,5562,32.5,44.7,880
0.95,5105,33.6,45.4,840
0.95,5953,31.5,44.1,904
0.95,5531,32.4,44.9,844
0.95,5701,33.8,46.9,810
0.86,2875,16.1,26.0,1309
0.95,5598,33.8,45.9,824
0.95,5898,35.0,48.5,794
0.85,3457,36.3,36.8,1198
0.95,5313,36.0,48.9,759
0.96,5943,38.5,53.4,705
0.96,5704,38.0,52.3,697
0.96,5305,39.5,52.6,689
0.96,6509,40.5,55.6,641
0.97,6792,40.7,55.8,674
0.84,2757,16.4,24.2,1264
0.85,2724,16.1,22.4,1317
0.85,2707,17.1,24.8,1245
0.84,2800,19.4,28.3,1157
0.69,1230,22.9,23.9,970
0.85,3062,14.8,25.6,1313
0.85,2857,18.1,26.8,1235
0.79,2029,10.4,15.9,1535
0.85,3650,15.2,24.4,1398
0.84,3755,15.0,23.5,1499
0.89,4276,16.1,24.0,1456
0.89,4119,17.1,23.4,1482
0.9,4805,19.5,26.9,1349
0.9,4774,18.9,25.6,1353
0.92,5978,18.1,25.4,1452
0.83,3037,35.8,36.5,1226
0.92,5037,20.8,29.4,1308
0.91,4838,20.1,28.4,1330
0.93,6018,21.7,29.7,1286
0.84,2883,15.2,22.8,1317
0.92,5890,21.7,29.7,1291
0.71,2291,8.9,13.5,1512
0.93,5286,22.9,33.6,1191
0.94,5605,23.5,33.9,1161
0.93,5954,23.0,33.5,1160
0.93,5814,24.3,33.7,1128
0.82,2802,35.9,36.7,1164
0.93,5398,24.3,33.4,1113
0.95,7075,23.2,31.8,1134
0.93,5365,26.2,35.4,1084
0.94,6564,25.2,35.5,1065
0.85,3327,13.7,20.3,1483
0.94,6191,27.0,36.7,1035
0.93,5797,24.1,34.0,1172
0.94,7044,24.6,34.3,1191
0.94,6641,25.3,34.6,1121
0.95,7270,26.1,34.7,1098
0.86,3601,36.3,37.6,1331
0.95,6910,25.9,34.8,1073
0.95,5930,27.8,39.2,987
0.95,7276,25.5,35.4,1071
0.95,6781,26.2,35.8,1015
0.95,6759,28.7,39.4,960
0.88,3878,14.2,20.5,1548
0.95,6638,27.6,38.1,973
0.95,6835,27.7,39.5,963
0.95,6341,29.0,38.7,904
0.96,7006,31.1,44.1,831
0.86,3511,35.6,37.0,1350
0.96,6496,31.2,42.5,830
0.96,6127,31.2,42.2,810
0.96,7617,33.3,45.6,762
0.96,8056,33.9,44.9,803
0.85,3664,14.3,20.8,1563
0.85,3498,13.0,19.5,1636
0.87,3606,15.2,22.9,1488
0.85,3678,15.8,23.6,1479
0.84,3593,14.0,21.1,1587
0.85,3512,14.8,23.0,1495
0.87,4157,35.1,36.5,1350
0.84,2670,13.5,20.9,1410
0.9,4060,20.9,32.1,1129
0.89,3865,21.4,31.0,1135
0.92,4579,22.4,33.5,1141
0.92,4573,23.0,32.6,1199
0.93,5337,23.4,33.4,1164
0.92,5053,23.4,32.4,1142
0.94,6304,25.4,35.4,1152
0.93,4412,26.0,39.0,918
0.93,4696,27.1,39.1,987
0.87,4263,34.1,35.9,1366
0.95,6289,28.0,40.4,1028
0.87,3958,15.7,22.1,1511
0.94,5880,28.7,41.0,969
0.93,3957,29.7,42.7,767
0.95,4547,30.8,48.5,803
0.95,5211,31.8,47.2,827
0.95,5967,31.7,45.8,868
0.95,5965,30.8,44.7,881
0.95,5617,32.3,44.6,876
0.96,7258,31.4,42.8,902
0.9,4827,39.1,40.5,1356
0.95,5304,28.8,43.6,862
0.95,6600,31.8,44.6,871
0.9,4024,18.6,27.2,1287
0.95,6187,31.8,43.1,858
0.93,4659,31.1,43.4,811
0.95,6988,32.5,46.7,898
0.95,6727,33.1,45.8,870
0.96,7330,33.7,47.8,846
0.96,7122,34.1,47.2,847
0.96,5198,36.8,53.6,704
0.85,5734,10.3,12.8,2184
0.9,4285,41.8,43.4,1221
0.96,7429,33.9,47.6,848
0.96,6811,34.6,48.6,784
0.96,6745,36.9,51.1,741
0.91,4653,19.4,28.0,1362
0.96,6584,36.1,51.5,750
0.96,6895,38.1,53.3,723
0.96,6446,38.1,51.9,717
0.96,6909,41.3,58.1,656
0.97,6566,42.4,58.3,639
0.97,6239,41.5,56.5,644
0.89,4086,40.9,42.6,1220
0.97,7566,44.2,60.8,594
0.97,8115,42.5,59.4,640
0.88,3440,16.7,25.4,1199
0.89,3623,16.7,25.2,1236
0.89,4104,17.9,26.8,1313
0.89,3939,21.1,31.4,1156
0.89,4425,18.3,27.2,1353
0.89,4132,19.9,28.8,1277
0.74,1643,10.7,19.3,1379
0.86,3027,20.8,30.1,1119
0.91,4930,44.5,45.9,1207
0.85,3004,20.1,29.7,1155
0.89,3455,21.0,30.8,1176
0.89,3319,21.1,31.2,1181
0.89,3508,21.6,33.4,1046
0.89,3391,21.9,34.3,1004
0.92,4726,23.7,34.4,1185
0.92,4007,24.9,36.1,1015
0.91,3915,25.5,36.6,1040
0.93,4797,27.3,39.3,1024
0.82,2218,15.1,25.4,1171
0.79,2297,26.7,27.7,1232
0.93,4802,27.3,38.6,1030
0.93,4459,26.9,41.1,956
0.93,4462,28.2,41.4,939
0.94,4590,30.2,42.3,896
0.94,5025,30.2,43.2,922
0.94,4905,29.8,42.3,918
0.94,4615,30.9,42.1,911
0.95,5665,30.0,41.5,932
0.94,4528,30.1,43.1,880
0.94,5138,31.5,45.2,842
0.9,4830,44.5,46.1,1188
0.84,2584,16.0,25.7,1223
0.94,5028,32.1,45.0,851
0.93,4900,28.7,42.4,930
0.94,5672,31.5,45.3,916
0.94,5442,32.0,44.5,883
0.95,5909,32.5,46.0,868
0.95,5644,33.4,45.8,853
0.95,4991,35.8,48.8,783
0.95,6042,33.1,46.3,877
0.95,5587,33.5,46.0,815
0.93,5313,49.3,50.7,995
0.95,5720,34.8,48.6,780
0.87,3042,17.2,27.3,1281
0.95,5635,33.6,47.0,798
0.96,5927,36.5,50.7,765
0.95,5377,36.8,50.0,737
0.96,5964,40.0,55.5,681
0.96,5727,40.1,53.8,674
0.96,5369,39.9,53.7,671
0.97,6499,42.3,57.8,617
0.97,6846,41.5,56.9,655
0.92,4530,48.7,49.8,1104
0.85,2750,18.3,28.3,1131
0.85,2663,18.3,26.7,1184
0.86,2695,19.1,29.3,1113
0.85,2984,20.2,30.0,1153
0.86,3028,16.8,27.6,1224
0.86,3009,17.7,28.2,1209
0.66,1109,12.4,14.2,1242
0.83,3291,19.7,21.7,1527
0.8,2677,20.5,22.2,1305
0.86,3773,22.1,23.8,1559
0.92,4745,49.3,50.6,1079
0.86,3472,22.3,24.6,1514
0.87,4224,21.9,24.3,1525
0.87,4235,20.2,21.8,1580
0.91,4676,24.7,28.4,1351
0.9,4617,23.8,26.0,1434
0.9,4352,23.7,25.8,1416
0.92,5526,28.1,30.4,1375
0.79,2547,15.2,17.8,1648
0.91,5215,28.6,30.2,1302
0.92,4941,23.9,26.9,1326
0.92,4973,49.9,51.2,1062
0.93,5044,30.1,32.2,1263
0.93,5259,30.2,32.6,1209
0.93,5465,31.6,34.2,1169
0.93,5310,30.4,32.7,1169
0.92,4853,32.2,35.4,1116
0.94,5857,31.0,35.5,1068
0.93,5270,25.8,28.6,1270
0.93,5984,29.3,33.1,1162
0.8,2710,17.0,18.6,1604
0.93,5588,30.4,33.3,1123
0.92,4875,48.7,50.4,1058
0.91,4189,32.5,33.9,1004
0.93,6685,34.4,36.1,1236
0.93,6147,34.4,37.8,1144
0.94,6618,34.9,38.1,1091
0.94,6036,34.7,38.8,1028
0.94,5647,33.9,36.9,1046
0.94,6432,34.3,37.4,1053
0.94,6142,34.9,37.0,1008
0.94,6293,35.5,38.5,1009
0.84,3158,18.5,21.2,1634
0.85,5213,10.2,12.8,2155
0.92,4669,48.4,50.3,1059
0.94,6128,35.5,38.4,995
0.95,6471,38.1,41.4,948
0.95,5775,38.4,42.2,902
0.95,6613,42.1,45.5,857
0.95,6198,42.0,45.7,825
0.95,5661,42.1,46.1,803
0.96,7204,44.3,48.3,760
0.96,7553,45.0,48.7,799
0.81,3160,14.2,17.0,1776
0.77,3015,7.6,9.8,2153
0.93,5702,47.0,48.8,1094
0.82,3087,16.3,17.4,1677
0.79,2555,21.3,22.7,1247
0.81,2500,18.2,20.7,1285
0.82,2480,19.1,21.3,1275
0.75,1654,12.3,13.1,1339
0.85,3948,20.6,21.6,1456
0.84,3601,21.9,23.6,1346
0.89,4555,22.8,23.7,1446
0.89,4166,23.8,24.5,1405
0.9,5431,22.7,23.9,1474
0.92,4772,47.1,48.6,1076
0.9,5401,20.8,22.6,1511
0.93,5953,27.5,29.0,1280
0.92,5477,25.3,27.6,1337
0.92,5145,24.9,28.3,1344
0.93,6330,30.5,31.7,1219
0.83,3224,14.2,16.2,1628
0.93,6322,29.6,31.1,1235
0.93,5527,26.8,30.7,1188
0.94,5728,32.5,34.6,1164
0.94,6036,32.8,34.5,1116
0.93,5566,49.0,50.7,1041
0.94,6336,34.6,36.3,1076
0.94,6079,34.5,36.1,1057
0.94,5566,34.9,37.4,1024
0.95,7229,34.0,36.2,1009
0.94,6056,29.8,31.9,1183
0.94,7096,32.0,34.1,1060
0.85,3529,17.0,18.2,1554
0.94,6532,32.9,35.1,1034
0.93,5205,36.1,38.7,956
0.95,7699,35.3,37.1,1144
0.82,2835,28.0,29.4,1368
0.94,7315,35.9,38.1,1090
0.95,7887,36.1,37.8,1035
0.95,7113,36.4,38.1,969
0.95,6291,37.2,39.4,956
0.95,7395,36.5,38.4,956
0.95,7266,37.0,38.5,948
0.95,7118,39.5,41.3,892
0.88,3992,20.5,21.2,1489
0.95,6968,39.5,41.0,907
0.96,7351,40.8,43.3,871
0.92,5217,47.9,50.3,1029
0.96,6489,43.4,45.3,814
0.96,7239,45.1,47.6,767
0.96,6874,45.5,47.9,751
0.96,6298,46.2,48.6,735
0.97,8026,48.1,50.7,693
0.97,8572,46.9,49.5,747
0.85,3981,17.5,19.9,1643
0.84,3636,15.4,17.8,1680
0.86,3834,18.4,20.3,1599
0.85,3623,22.1,23.9,1368
0.91,4896,49.4,50.6,1086
0.84,3410,18.7,20.9,1386
0.85,3612,17.8,20.6,1476
0.75,1442,12.7,13.1,1301
0.84,3812,19.5,20.9,1505
0.85,3340,22.3,23.8,1307
0.88,4365,21.7,22.6,1515
0.89,3972,23.1,24.2,1446
0.9,5028,20.9,22.1,1526
0.9,5051,20.8,22.1,1547
0.93,5557,27.3,28.8,1297
0.93,5692,51.9,53.5,1085
0.91,5224,25.5,27.1,1368
0.91,4929,24.1,26.7,1366
0.93,6199,28.8,30.6,1287
0.81,2461,13.2,15.1,1411
0.93,5951,29.9,31.4,1235
0.93,5380,27.5,31.2,1190
0.94,5605,30.7,32.2,1219
0.94,5850,31.6,33.5,1151
0.94,6101,33.3,35.5,1100
0.94,5878,32.8,34.9,1088
0.92,5492,51.7,53.6,1053
0.94,5356,33.9,35.9,1048
0.95,6785,34.3,36.7,1014
0.94,5859,28.4,30.8,1200
0.94,6747,30.1,32.0,1103
0.83,2675,16.6,17.5,1322
0.94,6220,32.4,34.6,1066
0.93,4737,38.0,39.0,908
0.95,7248,36.1,38.0,1130
0.94,6837,36.3,39.1,1070
0.95,7483,36.1,38.0,1036
0.93,5941,52.1,53.9,1033
0.95,6766,37.4,39.1,970
0.95,6154,36.7,38.8,979
0.95,7125,35.2,37.3,982
0.95,6915,37.8,38.6,951
0.95,6889,38.3,40.4,915
0.88,3370,20.4,20.9,1387
0.95,6710,37.6,39.3,934
0.95,7093,38.9,41.8,890
0.96,6281,40.7,43.4,836
0.96,7045,43.0,45.7,789
0.88,7108,12.3,14.7,2009
0.93,5701,51.7,53.7,1018
0.96,6681,43.3,46.3,771
0.96,6107,44.8,47.2,749
0.97,7804,45.8,49.6,707
0.97,8179,47.6,49.8,740
